date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
4/1/2021,Sikkim,2-Wheelers,0,398
4/1/2021,Sikkim,4-Wheelers,0,361
5/1/2021,Sikkim,2-Wheelers,0,113
5/1/2021,Sikkim,4-Wheelers,0,98
6/1/2021,Sikkim,2-Wheelers,0,229
6/1/2021,Sikkim,4-Wheelers,0,244
7/1/2021,Sikkim,2-Wheelers,0,458
7/1/2021,Sikkim,4-Wheelers,0,452
8/1/2021,Sikkim,2-Wheelers,0,489
8/1/2021,Sikkim,4-Wheelers,0,408
9/1/2021,Sikkim,2-Wheelers,0,540
9/1/2021,Sikkim,4-Wheelers,0,355
10/1/2021,Sikkim,2-Wheelers,0,455
10/1/2021,Sikkim,4-Wheelers,0,345
11/1/2021,Sikkim,2-Wheelers,0,478
11/1/2021,Sikkim,4-Wheelers,0,351
12/1/2021,Sikkim,2-Wheelers,0,454
12/1/2021,Sikkim,4-Wheelers,0,394
1/1/2022,Sikkim,2-Wheelers,0,400
1/1/2022,Sikkim,4-Wheelers,0,270
2/1/2022,Sikkim,2-Wheelers,0,384
2/1/2022,Sikkim,4-Wheelers,0,371
3/1/2022,Sikkim,2-Wheelers,0,460
3/1/2022,Sikkim,4-Wheelers,0,390
4/1/2022,Sikkim,2-Wheelers,0,455
4/1/2022,Sikkim,4-Wheelers,0,380
5/1/2022,Sikkim,2-Wheelers,0,461
5/1/2022,Sikkim,4-Wheelers,0,421
6/1/2022,Sikkim,2-Wheelers,0,429
6/1/2022,Sikkim,4-Wheelers,0,446
7/1/2022,Sikkim,2-Wheelers,0,409
7/1/2022,Sikkim,4-Wheelers,0,439
8/1/2022,Sikkim,2-Wheelers,0,394
8/1/2022,Sikkim,4-Wheelers,0,421
9/1/2022,Sikkim,2-Wheelers,0,443
9/1/2022,Sikkim,4-Wheelers,0,581
10/1/2022,Sikkim,2-Wheelers,0,371
10/1/2022,Sikkim,4-Wheelers,0,340
11/1/2022,Sikkim,2-Wheelers,0,431
11/1/2022,Sikkim,4-Wheelers,0,411
12/1/2022,Sikkim,2-Wheelers,0,274
12/1/2022,Sikkim,4-Wheelers,0,288
1/1/2023,Sikkim,2-Wheelers,0,470
1/1/2023,Sikkim,4-Wheelers,0,420
2/1/2023,Sikkim,2-Wheelers,0,324
2/1/2023,Sikkim,4-Wheelers,0,364
3/1/2023,Sikkim,2-Wheelers,0,454
3/1/2023,Sikkim,4-Wheelers,0,505
4/1/2023,Sikkim,2-Wheelers,0,465
4/1/2023,Sikkim,4-Wheelers,0,439
5/1/2023,Sikkim,2-Wheelers,0,507
5/1/2023,Sikkim,4-Wheelers,0,448
6/1/2023,Sikkim,2-Wheelers,0,517
6/1/2023,Sikkim,4-Wheelers,0,457
7/1/2023,Sikkim,2-Wheelers,0,423
7/1/2023,Sikkim,4-Wheelers,0,371
8/1/2023,Sikkim,2-Wheelers,0,465
8/1/2023,Sikkim,4-Wheelers,0,460
9/1/2023,Sikkim,2-Wheelers,0,546
9/1/2023,Sikkim,4-Wheelers,0,509
10/1/2023,Sikkim,2-Wheelers,0,398
10/1/2023,Sikkim,4-Wheelers,0,389
11/1/2023,Sikkim,2-Wheelers,0,470
11/1/2023,Sikkim,4-Wheelers,0,403
12/1/2023,Sikkim,2-Wheelers,0,365
12/1/2023,Sikkim,4-Wheelers,0,318
1/1/2024,Sikkim,2-Wheelers,0,509
1/1/2024,Sikkim,4-Wheelers,0,422
2/1/2024,Sikkim,2-Wheelers,0,408
2/1/2024,Sikkim,4-Wheelers,0,375
3/1/2024,Sikkim,2-Wheelers,0,399
3/1/2024,Sikkim,4-Wheelers,0,455
4/1/2021,Andaman & Nicobar Island,2-Wheelers,0,515
4/1/2021,Arunachal Pradesh,2-Wheelers,0,1256
4/1/2021,Arunachal Pradesh,4-Wheelers,0,724
4/1/2021,Assam,4-Wheelers,0,6576
4/1/2021,Chhattisgarh,4-Wheelers,0,1563
4/1/2021,DNH and DD,4-Wheelers,0,278
4/1/2021,Jammu and Kashmir,4-Wheelers,0,5107
4/1/2021,Ladakh,2-Wheelers,0,2
4/1/2021,Ladakh,4-Wheelers,0,20
4/1/2021,Manipur,4-Wheelers,0,808
4/1/2021,Meghalaya,2-Wheelers,0,1189
4/1/2021,Mizoram,2-Wheelers,0,1507
4/1/2021,Mizoram,4-Wheelers,0,281
4/1/2021,Nagaland,2-Wheelers,0,561
4/1/2021,Nagaland,4-Wheelers,0,747
4/1/2021,Puducherry,4-Wheelers,0,655
4/1/2021,Tripura,2-Wheelers,0,2906
4/1/2021,Tripura,4-Wheelers,0,289
5/1/2021,Andaman & Nicobar Island,2-Wheelers,0,4
5/1/2021,Andaman & Nicobar Island,4-Wheelers,0,1
5/1/2021,Arunachal Pradesh,2-Wheelers,0,552
5/1/2021,Arunachal Pradesh,4-Wheelers,0,302
5/1/2021,Assam,2-Wheelers,0,14723
5/1/2021,Assam,4-Wheelers,0,3295
5/1/2021,Bihar,4-Wheelers,0,2249
5/1/2021,Chandigarh,2-Wheelers,0,411
5/1/2021,Chhattisgarh,4-Wheelers,0,1387
5/1/2021,DNH and DD,2-Wheelers,0,452
5/1/2021,DNH and DD,4-Wheelers,0,202
5/1/2021,Delhi,2-Wheelers,0,22
5/1/2021,Delhi,4-Wheelers,0,21
5/1/2021,Jammu and Kashmir,4-Wheelers,0,2372
5/1/2021,Ladakh,2-Wheelers,0,11
5/1/2021,Ladakh,4-Wheelers,0,70
5/1/2021,Madhya Pradesh,4-Wheelers,0,195
5/1/2021,Manipur,2-Wheelers,0,288
5/1/2021,Manipur,4-Wheelers,0,9
5/1/2021,Meghalaya,2-Wheelers,0,332
5/1/2021,Mizoram,2-Wheelers,0,15
5/1/2021,Mizoram,4-Wheelers,0,4
5/1/2021,Nagaland,2-Wheelers,0,125
5/1/2021,Nagaland,4-Wheelers,0,126
5/1/2021,Odisha,4-Wheelers,0,722
